Run,Success_Rate,Condition,Success_Rate_Pct
1,0.791,Baseline (with state encoder),79.10000000000001
2,0.799,Baseline (with state encoder),79.9
3,0.788,Baseline (with state encoder),78.8
4,0.788,Baseline (with state encoder),78.8
5,0.778,Baseline (with state encoder),77.8
6,0.787,Baseline (with state encoder),78.7
7,0.767,Baseline (with state encoder),76.7
8,0.755,Baseline (with state encoder),75.5
9,0.777,Baseline (with state encoder),77.7
10,0.8,Baseline (with state encoder),80.0
1,0.801,Ablation (without state encoder),80.10000000000001
2,0.775,Ablation (without state encoder),77.5
3,0.798,Ablation (without state encoder),79.80000000000001
4,0.775,Ablation (without state encoder),77.5
5,0.748,Ablation (without state encoder),74.8
6,0.756,Ablation (without state encoder),75.6
7,0.795,Ablation (without state encoder),79.5
8,0.806,Ablation (without state encoder),80.60000000000001
9,0.794,Ablation (without state encoder),79.4
10,0.775,Ablation (without state encoder),77.5
